지역,매장명,주소,위도,경도
인천,남동인더스파크역점,인천광역시 남동구 은청로 4-7(고잔동),37.40694648,126.693402
경기,구리인창점,경기도 구리시 건원대로 95 인창프라자 1층(인창동),,
부산,서면롯데점,부산광역시 부산진구 가야대로784번길 11(부전동),35.15691012,129.0573548
경남,거제중곡점,"경상남도 거제시 중곡로 43, 105호(고현동)",34.89651796,128.6298182
경기,부천역점,경기도 부천시 부일로 460시네마존 1층 104호(심곡동),,
서울,사보이시티점,서울특별시 마포구 월드컵북로54길 17130호(상암동 1597),,
경남,마산산호점,경상남도 창원시 마산합포구 산호북17길 16(산호동),35.22038766,128.5838794
인천,인천동춘점,인천광역시 연수구 앵고개로264번길 41한양 2차 아파트 상가 1층 109호(동춘동),,
경기,수원영통점,경기도 수원시 영통구 청명남로 31키라레스토아 106호(영통동),,
인천,부평로데오점,인천광역시 부평구 시장로 17(부평동),37.49270288,126.7246189
충남,내포신도시점,"충청남도 홍성군 홍북읍 청사로 36, 106호",36.64810903,126.6746794
서울,화양점,"서울특별시 광진구 광나루로 361, 105호-106호(군자동, 광진 동양파라곤 1단지)",37.54843402,127.069739
경남,거제고현점,경상남도 거제시 거제중앙로 1919(고현동),34.88926127,128.6224158
제주,연동점,제주특별자치도 제주시 과원북2길 48(연동),33.4787226,126.4876078
서울,잠실역지하쇼핑센터점,"서울특별시 송파구 올림픽로 지하265, B-18호(신천동)",37.51331901,127.1003127
강원,속초중앙시장점,강원도 속초시 중앙로147번길 15(중앙동),38.20364333,128.590481
서울,동소문점,서울특별시 성북구 아리랑로 14(동선동4가),37.59396851,127.0163937
전남,여수학동점,전라남도 여수시 시청동3길 10(학동),34.75927418,127.6655631
경기,서정마을점,경기도 고양시 덕양구 서정마을1로 4-9행신미라클프라자 106호(행신동),,
부산,가야점,"부산광역시 부산진구 대학로 12, 1층",35.15430618,129.0370176
경기,용인강남대점,경기도 용인시 기흥구 강남로 12스카이프라자 1층 104호(구갈동),,
인천,송도점,"인천광역시 연수구 신송로125번길 13, 104호(송도동)",37.39456482,126.651182
경기,안성공도점,"경기도 안성시 공도읍 송원길 23, 102호",37.00751666,127.1725668
인천,인천논현에코점,"인천광역시 남동구 논고개로 77, 106-107호(논현동)",37.39843761,126.7262539
인천,국제성모병원점,"인천광역시 서구 탁옥로 105, 107호(심곡동)",37.54386416,126.6814917
인천,검단사거리점,"인천광역시 서구 완정로 153, 105호(왕길동)",37.60136992,126.6588219
서울,미아수유시장점,서울특별시 강북구 솔매로45길 95(미아동),37.63015765,127.023734
경기,오포점,"경기도 광주시 오포읍 양벌로 195-5, 1층",37.37876973,127.2554011
경남,현동점,경상남도 창원시 마산합포구 현동4길 5성원빌딩 109호(현동),,
부산,명지점,부산광역시 강서구 명지국제12로29번길 5,35.10524192,128.9242872
제주,동홍동점,"제주특별자치도 서귀포시 동홍로 98 ,1층(동홍동)",33.25714114,126.5685588
경기,수원매탄점,"경기도 광주시 오포읍 양벌로 195-5, 1층",37.37876973,127.2554011
경기,위례신도시점,경기도 성남시 수정구 위례광장로 310우성트램타워 A동 1층(창곡동),,
경기,용인보라동점,경기도 용인시 기흥구 한보라1로 14베스트프라자 108호(보라동),,
강원,홍천점,강원도 홍천군 홍천읍 홍천로5길 15,37.68996644,127.8828969
서울,이수태평점,서울특별시 동작구 동작대로27길 20(사당동),37.48763805,126.9808954
경기,파주문산점,경기도 파주시 문산읍 문향로67번길 2,37.85814353,126.7850367
경기,고양화정점,경기도 고양시 덕양구 화신로272번길 38성보월드프라자 1층(화정동),,
제주,함덕해수욕장점,제주특별자치도 제주시 조천읍 조함해안로 528,33.54248881,126.6692131
인천,청라스퀘어7점,"인천광역시 서구 청라루비로 76, B167호(청라동)",37.53230616,126.6417114
